H K L Icalc Imeasured Err
-2.240000000000000213e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.531019096167522946e+02 3.389182262138929218e+02 1.553148138660636448e+02
-1.760000000000000009e+00 0.000000000000000000e+00 2.950000000000000000e+01 6.879328993623194322e+01 2.483684601866698358e+02 1.453925048575407004e+02
-2.240000000000000213e+00 0.000000000000000000e+00 2.950000000000000000e+01 1.106839597583770427e+02 2.910690489092958160e+02 1.457091025918593630e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.050000000000000000e+01 1.424453892407592321e+03 1.289238995301795512e+03 1.481780561625944586e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.050000000000000000e+01 1.169130516654352050e+03 1.448292867341864621e+03 1.479583714681261313e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.150000000000000000e+01 7.078874918035614883e+01 -1.536817870168124500e+01 1.429542034949479898e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.150000000000000000e+01 1.786563753392807712e+02 2.540937708930578083e+02 1.423725787217292691e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.250000000000000000e+01 5.143872909491826704e+02 5.939827085474717023e+02 1.365865467958869033e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.250000000000000000e+01 7.421417789848736675e+02 7.774145031683465277e+02 1.419688772561613348e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.350000000000000000e+01 1.052864261910285904e+03 1.353664381080251587e+03 1.413028040127831275e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.350000000000000000e+01 1.018987449333614791e+03 1.067661828956128375e+03 1.457173191812661628e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.450000000000000000e+01 1.366723109648463833e+03 1.300923165168213018e+03 1.599526846543220699e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.298937322355551714e+03 9.805654860416252632e+02 1.640771779148459188e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.550000000000000000e+01 9.540549995603660136e+02 6.243807020391905098e+02 1.581122895089119993e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.550000000000000000e+01 9.741864916494678255e+02 8.194682567443232983e+02 1.540564527210723611e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.650000000000000000e+01 7.185187356096719213e+02 6.659354953535548702e+02 1.438988359925124598e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.650000000000000000e+01 7.329560824388264564e+02 6.996734285317024842e+02 1.395603588057869615e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.750000000000000000e+01 9.488560694828166788e+02 1.270359458216060375e+03 1.457746146667861922e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.750000000000000000e+01 7.323095436381047421e+02 8.097282639872282743e+02 1.415128362110660305e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.850000000000000000e+01 3.090460743055691069e+02 2.252461054045234050e+02 1.517190621778456716e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.919092069209068825e+02 5.279526106413686648e+01 1.524481277045572654e+02
-7.600000000000000089e-01 0.000000000000000000e+00 2.950000000000000000e+01 8.919716948344623688e+02 1.062627871770288039e+03 1.523062293538908420e+02
-1.239999999999999991e+00 0.000000000000000000e+00 2.950000000000000000e+01 1.013494096957752049e+03 1.176537266924206051e+03 1.498786357982684478e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.850000000000000000e+01 1.429289219497749173e+02 2.300750031559891795e+01 1.636150565160492931e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.850000000000000000e+01 1.429289219507678581e+02 3.148643860832025894e+02 1.635843926406948015e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.750000000000000000e+01 1.963598120940641138e+03 2.866206067550153421e+03 1.678800899730965739e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.750000000000000000e+01 1.963598120937468366e+03 2.168592424157629466e+03 1.649332014407651172e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.650000000000000000e+01 1.394705986257939230e+03 1.167997150401723047e+03 1.541448372777207112e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.650000000000000000e+01 1.394705986249088255e+03 1.334769966517462308e+03 1.520057307719021367e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.550000000000000000e+01 1.608196491929859562e+01 1.069335461371520068e+01 1.447648348939582661e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.550000000000000000e+01 1.608196491889033908e+01 1.433930016668882672e+02 1.441143480452241477e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.450000000000000000e+01 1.124081414032397532e+02 2.205891069580502517e+01 1.401818155334350138e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.450000000000000000e+01 1.124081414017142464e+02 -3.875920827657801055e+02 1.401755665339898087e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.350000000000000000e+01 1.405111360680362623e+03 1.458869396811018305e+03 1.511005330690464632e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.350000000000000000e+01 1.405111360675066862e+03 1.688435638760865004e+03 1.512780707422592741e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.250000000000000000e+01 1.983146104814632054e+03 2.176784983848692718e+03 1.762921769127178209e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.250000000000000000e+01 1.983146104814456521e+03 2.177132280159128641e+03 1.731004608060013084e+02
2.399999999999999911e-01 0.000000000000000000e+00 -2.150000000000000000e+01 3.985476423133863477e+02 7.179595761256123296e+02 1.658642022672463270e+02
-2.399999999999999911e-01 0.000000000000000000e+00 -2.150000000000000000e+01 3.985476423142297335e+02 3.930789401760357578e+02 1.608807545590833001e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.150000000000000000e+01 3.985476423142297335e+02 3.003978053851260483e+02 1.630336789401196143e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.150000000000000000e+01 3.985476423133863477e+02 4.611062479676384100e+02 1.623848450152445650e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.250000000000000000e+01 1.983146104814456521e+03 2.160662211707382085e+03 1.714571739531478443e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.250000000000000000e+01 1.983146104814632054e+03 2.122705456399165996e+03 1.714414702876028116e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.350000000000000000e+01 1.405111360675066862e+03 1.312178903734332380e+03 1.492934662418285541e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.350000000000000000e+01 1.405111360680362623e+03 8.524235013013339994e+02 1.442316726333886834e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.450000000000000000e+01 1.124081414017142464e+02 -3.599879043972268846e+02 1.383556897095309068e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.450000000000000000e+01 1.124081414032397532e+02 -1.197988105011791049e+01 1.358894383428123547e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.550000000000000000e+01 1.608196491889033908e+01 -4.261312122791623551e+02 1.444881861520172777e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.550000000000000000e+01 1.608196491929859562e+01 4.557919479856263933e+01 1.437284630605573454e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.750000000000000000e+01 1.963598120937468366e+03 2.095166039573658963e+03 1.657102316073904831e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.750000000000000000e+01 1.963598120940641138e+03 2.057559984545070620e+03 1.655426092241813194e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.850000000000000000e+01 1.429289219507678581e+02 -1.332487868651687677e+02 1.591088648044948002e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.850000000000000000e+01 1.429289219497749173e+02 4.416643798011273248e+02 1.598196982148946574e+02
2.399999999999999911e-01 0.000000000000000000e+00 2.950000000000000000e+01 9.374044889186008334e+01 1.913148118565914046e+01 1.453699617570631517e+02
-2.399999999999999911e-01 0.000000000000000000e+00 2.950000000000000000e+01 9.374044889282448878e+01 5.913805731290267431e+01 1.457552529070565015e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.850000000000000000e+01 1.919092069209068825e+02 3.385917529575090157e+02 1.507910456662629599e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.850000000000000000e+01 3.090460743055691069e+02 3.275737056674097403e+02 1.521062282995012538e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.750000000000000000e+01 7.323095436381047421e+02 1.004397965066164033e+03 1.409179725939881678e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.750000000000000000e+01 9.488560694828166788e+02 1.150717332058559805e+03 1.479275186746874340e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.650000000000000000e+01 7.329560824388264564e+02 7.776656556144334900e+02 1.386671205170858059e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.650000000000000000e+01 7.185187356096719213e+02 8.997740895839524455e+02 1.474821692082639402e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.550000000000000000e+01 9.741864916494678255e+02 9.252184628304239595e+02 1.546963128802687493e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.550000000000000000e+01 9.540549995603660136e+02 6.319890924465435091e+02 1.608483126660021867e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.450000000000000000e+01 1.298937322355551714e+03 1.369852009706432000e+03 1.635228147308503139e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.450000000000000000e+01 1.366723109648463833e+03 1.531345266223215731e+03 1.573188007776724646e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.350000000000000000e+01 1.018987449333614791e+03 1.297943829890215056e+03 1.448353388873896392e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.350000000000000000e+01 1.052864261910285904e+03 1.359689259617551215e+03 1.406324373033298514e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.250000000000000000e+01 7.421417789848736675e+02 6.124172399879007571e+02 1.398048793743444378e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.250000000000000000e+01 5.143872909491826704e+02 2.477499627624320055e+02 1.354421145960517094e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.150000000000000000e+01 1.786563753392807712e+02 7.655413682458311087e+01 1.402866624317864250e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.150000000000000000e+01 7.078874918035614883e+01 -3.740749159595961828e+02 1.433133040753718603e+02
1.239999999999999991e+00 0.000000000000000000e+00 -2.050000000000000000e+01 1.169130516654352050e+03 1.165549979789750068e+03 1.490297264809943840e+02
7.600000000000000089e-01 0.000000000000000000e+00 -2.050000000000000000e+01 1.424453892407592321e+03 1.188205808734766833e+03 1.473196328353760123e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.250000000000000000e+01 7.421417789855614728e+02 2.351643045016004180e+03 1.502111144564542542e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.250000000000000000e+01 5.143872909482842033e+02 5.971543407215649495e+02 1.418925649919684702e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.350000000000000000e+01 1.018987449340869603e+03 1.480873249336520530e+03 1.496831484231775562e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.350000000000000000e+01 1.052864261909849574e+03 1.239379756744836413e+03 1.450578683017574235e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.298937322351837111e+03 1.893810808107955381e+02 1.751394589409394200e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.450000000000000000e+01 1.366723109653395795e+03 1.119730188260225987e+03 1.636011429800385031e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.550000000000000000e+01 9.741864916432293739e+02 7.803457438447658205e+02 1.566463223714492301e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.550000000000000000e+01 9.540549995655386510e+02 7.517798498956726689e+02 1.624248443992636339e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.750000000000000000e+01 7.323095436404895509e+02 1.222051768827470369e+03 1.427765545572871702e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.750000000000000000e+01 9.488560694789287027e+02 9.888304819110871904e+02 1.455665319858071030e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.919092069191143821e+02 5.565765718235925306e+02 1.578776598152822999e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.850000000000000000e+01 3.090460743108722568e+02 4.869011853345436975e+02 1.542030798776405902e+02
1.239999999999999991e+00 0.000000000000000000e+00 2.950000000000000000e+01 1.013494096954496626e+03 9.078566313582996372e+02 1.532944852848594905e+02
7.600000000000000089e-01 0.000000000000000000e+00 2.950000000000000000e+01 8.919716948345100036e+02 8.478203382962819887e+02 1.534035985969690330e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.850000000000000000e+01 1.531019096167522946e+02 7.982870026404270902e+01 1.563608044615881454e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.850000000000000000e+01 1.060689281029267477e+02 4.131708863565290812e+02 1.607648953052251386e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.750000000000000000e+01 1.829883819827232401e+03 2.276325221537495963e+03 1.684899848655699657e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.750000000000000000e+01 1.758926424128215103e+03 2.110328334070247365e+03 1.565373732331995029e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.650000000000000000e+01 1.329997210689992016e+03 1.398150602111862099e+03 1.535438404414192064e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.650000000000000000e+01 1.211199673909713511e+03 1.230036971581808757e+03 1.480747145658231432e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.550000000000000000e+01 6.831133077632895834e+01 5.769331631006934913e+00 1.490090837205906666e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.550000000000000000e+01 2.408015993801440602e-01 -4.286509013624090585e+02 1.418240753869913249e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.350000000000000000e+01 1.173399042134863748e+03 9.714642338074627332e+02 1.440093041699042544e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.350000000000000000e+01 1.360283422401794496e+03 9.796170153117454902e+02 1.492110109249649099e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.250000000000000000e+01 1.680849479526707000e+03 1.541728689022478648e+03 1.643332765487562597e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.250000000000000000e+01 1.873757692590191482e+03 1.644757611032924615e+03 1.781191117447816055e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.150000000000000000e+01 2.854874428403553566e+02 3.229323826782638207e+02 1.632517287906164825e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.150000000000000000e+01 4.283694440099440044e+02 6.143538727930281311e+02 1.554617869043708254e+02
2.240000000000000213e+00 0.000000000000000000e+00 -2.050000000000000000e+01 2.221556266409979514e+02 2.763583651798253413e+02 1.479430316878763847e+02
1.760000000000000009e+00 0.000000000000000000e+00 -2.050000000000000000e+01 3.296244567298123229e+02 4.440136853061221700e+02 1.426105108766531373e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.250000000000000000e+01 1.680849479526401637e+03 1.991172613426169846e+03 1.675481623854765019e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.250000000000000000e+01 1.873757692585342284e+03 2.005825984408613294e+03 1.786932492954056784e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.450000000000000000e+01 3.270591447256322226e+01 8.445376102329464629e+01 1.390688271032548755e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.450000000000000000e+01 2.188902597039359250e+02 2.662474398457015923e+02 1.451466795822419158e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.550000000000000000e+01 6.831133077654686758e+01 3.563283922014670679e+01 1.518187009849247886e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.550000000000000000e+01 2.408015993480297490e-01 -2.658543632773216814e+02 1.450722947468778443e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.829883819834863971e+03 2.081668714423896745e+03 1.728916749007886722e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.758926424117250463e+03 1.574596941771800630e+03 1.578514494014071374e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.531019096177258234e+02 1.526391713132616132e+02 1.620496463761183179e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.060689281020632251e+02 2.856734521976613905e+01 1.613348432317860954e+02
2.240000000000000213e+00 0.000000000000000000e+00 2.950000000000000000e+01 1.106839597589462869e+02 3.357749216020674794e+02 1.490499732681961973e+02
1.760000000000000009e+00 0.000000000000000000e+00 2.950000000000000000e+01 6.879328993666935332e+01 -1.728619985434597766e+02 1.457476950932672537e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.850000000000000000e+01 8.548578594372060024e+01 2.275958824739791453e+01 1.529652674526965939e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.850000000000000000e+01 3.806745424979176846e+02 4.419511069219443016e+02 1.452027004526775329e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.750000000000000000e+01 4.701552497741789125e+02 7.581405223119072616e+02 1.407408550537120959e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.750000000000000000e+01 1.016598525334851843e+03 1.583503173579389113e+03 1.452725549936222365e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.650000000000000000e+01 6.316037152951196276e+02 4.003049203765112907e+02 1.368789454340038390e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.650000000000000000e+01 5.935357362590258390e+02 5.927048260609735735e+02 1.464588852822695628e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.550000000000000000e+01 8.167632659117489311e+02 7.108272880780568812e+02 1.494616249869845319e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.550000000000000000e+01 7.609463514768839332e+02 -2.784308249619789422e+01 1.690659888734277558e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.450000000000000000e+01 1.007036466845004611e+03 4.901661952708382159e+02 1.677190207515981228e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.450000000000000000e+01 1.168575801139666510e+03 1.456057579239131883e+03 1.552108507905455781e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.350000000000000000e+01 8.130887788746364322e+02 1.537389660306100268e+03 1.526760702332719859e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.350000000000000000e+01 8.866214694930328051e+02 1.269000724498262571e+03 1.397229541136673845e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.150000000000000000e+01 2.593478749681004274e+02 4.115827152418351034e+02 1.412583791762456826e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.150000000000000000e+01 7.221091833233381330e+00 2.014421308181481436e+02 1.514144379880928000e+02
3.240000000000000213e+00 0.000000000000000000e+00 -2.050000000000000000e+01 7.443996213016866932e+02 5.533462691481690854e+02 1.491752849000128549e+02
2.759999999999999787e+00 0.000000000000000000e+00 -2.050000000000000000e+01 1.353311900239813895e+03 1.187215663687267806e+03 1.514163728556129342e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.050000000000000000e+01 7.443996213034437233e+02 8.085328715456416830e+02 1.549130804677255071e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.050000000000000000e+01 1.353311900232879907e+03 9.293620649145450443e+02 1.549262551385335769e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.150000000000000000e+01 2.593478749642717389e+02 2.802258445408660918e+02 1.430864849924687974e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.150000000000000000e+01 7.221091833063163712e+00 -1.681057013429817744e+02 1.510349969791769809e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.250000000000000000e+01 8.259176789477368175e+02 9.042719600772834383e+02 1.478074589520941515e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.250000000000000000e+01 2.681625166634324842e+02 2.501388215359293099e+02 1.392367447685775232e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.350000000000000000e+01 8.130887788763634489e+02 9.040005598421557806e+02 1.530266457087621177e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.350000000000000000e+01 8.866214694940222216e+02 1.304172171479731333e+03 1.522873260895337921e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.007036466842610480e+03 -5.244050905760377645e+01 1.748190303124204945e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.168575801126776241e+03 9.225186335690086707e+02 1.603976321228745689e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.550000000000000000e+01 8.167632659122192536e+02 7.464821921262773685e+02 1.555392773445826435e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.550000000000000000e+01 7.609463514744564918e+02 9.695105378782609478e+02 1.677832842352002558e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.650000000000000000e+01 6.316037152982006546e+02 5.219389269665989559e+02 1.397136301063715109e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.650000000000000000e+01 5.935357362583049508e+02 4.888845462499302812e+02 1.460272676270599845e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.750000000000000000e+01 4.701552497752533668e+02 4.212928631490503903e+02 1.406112215472150808e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.016598525333390057e+03 1.432931161297979997e+03 1.509001765447940215e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.850000000000000000e+01 8.548578594151061338e+01 1.458272400416899472e+02 1.543357364036275214e+02
2.759999999999999787e+00 0.000000000000000000e+00 2.850000000000000000e+01 3.806745424967340341e+02 1.602749465451925062e+02 1.487026776091304896e+02
3.240000000000000213e+00 0.000000000000000000e+00 2.950000000000000000e+01 9.760705804971298676e+02 1.236683932583720889e+03 1.523215785148315717e+02
